time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/std,train/n_updates,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/approx_kl
109,32.58,223232,1.6339428999999996,130,1710,-0.6547041790559888,0.0005374399391671351,0.46580806374549866,1080,0.12384784974010783,5.918342067161575e-05,0.063916015625,968.8003985404969,525.6663818359375,0.8226728737354279,0.0020431636
110,33.8,225280,-7.91651498,131,1709,-0.6496389023959637,0.0005374399391671351,0.4616062045097351,1090,0.12384784974010783,0.000471873494097963,0.051513671875,962.9456249237061,506.97918701171875,0.8747958093881607,0.0017260972
111,32.22,227328,-1.207645180000004,132,1709,-0.6393598241731524,0.0005374399391671351,0.45526471734046936,1100,0.12384784974010783,0.0003615360896219499,0.0572265625,1186.6752447128297,778.9446411132812,0.863643005490303,0.002042794
112,35.88,229376,1.4839959899999982,134,1709,-0.6306709758937359,0.0005374399391671351,0.45376479625701904,1110,0.12384784974010783,-0.00016496363750775344,0.0505859375,977.5442465782165,488.1644287109375,0.8246024250984192,0.001659363
113,35.63,231424,24.35641398,135,1709,-0.6166237479075789,0.0005374399391671351,0.44364479184150696,1120,0.12384784974010783,-0.000712344577186741,0.072021484375,1097.7931715011596,485.34735107421875,0.8126066476106644,0.0023353798
114,34.26,233472,28.596039230000002,136,1708,-0.5908392896875739,0.0005374399391671351,0.43301016092300415,1130,0.12384784974010783,-0.0004576755891321227,0.046484375,1077.4776676177978,920.481201171875,0.8400589525699615,0.0027442658
115,33.23,235520,3.261424670000001,137,1708,-0.5753215581178666,0.0005374399391671351,0.42935144901275635,1140,0.12384784974010783,5.315872840583325e-07,0.069921875,1153.4259435653687,719.3472900390625,0.8092916756868362,0.0017163238
116,35.28,237568,30.26146765,139,1706,-0.5541018366813659,0.0005374399391671351,0.41751590371131897,1150,0.12384784974010783,-0.0011502282533911057,0.077294921875,1116.8319345474242,725.8475952148438,0.8326748907566071,0.002754932
117,32.93,239616,21.167701360000002,140,1706,-0.540856665559113,0.0005374399391671351,0.41469860076904297,1160,0.12384784974010783,-0.0004734825590276159,0.087646484375,682.05486536026,550.15380859375,0.8384726792573929,0.0024418426
118,34.44,241664,42.72716933000001,141,1705,-0.524722422286868,0.0005374399391671351,0.40432295203208923,1170,0.12384784974010783,0.001983837400621269,0.103076171875,1057.2208293914796,370.234130859375,0.8393032550811768,0.008249868
